,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
139,140,特願2017-567333,特表2018-528450,"2016/06/28
2017/01/05
-",ホログラフィック装置および物体選別システム,アイメック・ヴェーゼットウェー 他,"G03H1/04 
G01N21/17@A 
G01N15/02@A",2016-06-28,1,6,2016,"G03H
G01N","G03H1/04
G01N21/17
G01N15/02","['ホログラフィー的方法または装置（通常の光学的素子として用いられるホログラム，例．点ホログラムＧ０２Ｂ５／３２；光学素子を利用して計算動作を行うアナログ計算機Ｇ０６Ｅ３／００；ホログラフィー的デジタル記録Ｇ１１Ｂ７／００６５，Ｇ１１Ｃ１３／０４）［２］']
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']","['ホログラムを作るための方法または装置（Ｇ０３Ｈ１／２６が優先）［２］']
['調査される材料の特性に応じて入射光が変調されるシステム（調査される材料が光学的に励起され入射光の波長に変化を起すシステムＧ０１Ｎ２１／６３）［３］']
['粒度または粒度分布の調査（Ｇ０１Ｎ１５／０４，Ｇ０１Ｎ１５／１０が優先；浸透圧の測定によるものＧ０１Ｎ７／１０）［４］']"
140,141,特願2017-568246,特表2018-526060,"2016/06/29
2017/01/05
-",機械学習アルゴリズムを用いた転倒リスクの識別,アイシュー， インコーポレイテッド,"A61B5/11,210 
G06N99/00,150",2016-06-29,1,6,2016,"G06N
A61B","A61B5/11
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['身体全体またはその部分の動きを測定するもの，例．頭または手の震えまたは４肢の運動性（脈はく測定のためのものＡ６１Ｂ５／０２）［５］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
141,142,特願2017-567453,特表2018-522650,"2016/06/22
2017/01/05
-",胃腸刺激のための装置およびその使用,イラン，ヤロン,"A61N1/36 
A61B18/00",2016-06-22,1,6,2016,"A61N
A61B","A61N1/36
A61B18/00","['電気治療；磁気治療；放射線治療；超音波治療（生体電流の測定Ａ６１Ｂ；非機械的な形態のエネルギーを，身体へ，または身体から伝達する手術用機器，器具，または方法Ａ６１Ｂ１８／００；麻酔装置一般Ａ６１Ｍ；白熱ランプＨ０１Ｋ；加熱用の赤外線放射器Ｈ０５Ｂ）［６］']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['刺激のための，例．心臓ペースメーカ']
['非機械的な形態のエネルギーを，身体へ，または身体から伝達する手術用機器，器具または方法（眼科手術用Ａ６１Ｆ９／００７；耳科手術用Ａ６１Ｆ１１／００）［７］']"
142,143,特願2017-524597,再表2016/208142,"2016/06/10
2016/12/29
-",画像処理システム、画像処理方法、およびコンピュータ読取可能な記録媒体,国立大学法人東京工業大学 他,G06T5/50,2016-06-10,1,6,2016,G06T,G06T5/50,['イメージデータ処理または発生一般［６，８］'],['二つ以上のイメージの使用によるもの，例．平均化，減算［６］']
143,144,特願2015-110186,特開2016-224680,"2015/05/29
2016/12/28
-",自己位置推定装置及び自己位置推定装置を備えた移動体,トヨタ自動車株式会社 他,G05D1/02@H,2015-05-29,1,5,2015,G05D,G05D1/02@,['非電気的変量の制御または調整系（金属の連続鋳造Ｂ２２Ｄ１１／１６；弁それ自体Ｆ１６Ｋ；非電気的変量の検出はＧ０１の関連サブクラスを参照；電気的または磁気的変量の調整Ｇ０５Ｆ）'],[]
144,145,特願2015-193852,特許6055058,"2015/09/30
2016/12/27
2016/12/09",機械学習器及び組み立て・試験器を備えた生産設備,ファナック株式会社,"G05B19/418@Z 
B23P21/00,301@Z 
B23P21/00,307@Z",2015-09-30,1,9,2015,"G05B
B23P","G05B19/41
B23P21/00
B23P21/00","['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['金属の他の加工；複合作業；万能工作機械（ならい装置または制御装置Ｂ２３Ｑ）']","['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['ユニットを構成するべく種々の多数の部品を組立てる機械で，そのような部品の先後加工があるものまたはないもの，例．プログラム制御付きのもの']
['ユニットを構成するべく種々の多数の部品を組立てる機械で，そのような部品の先後加工があるものまたはないもの，例．プログラム制御付きのもの']"
145,146,特願2017-543393,特表2018-531437,"2016/05/19
2016/12/22
-",適応皮膚処置のためのシステムおよび方法,アミール，ハイム,"G06Q50/22 
A45D44/00@A 
A61K8/00 
他",2016-05-19,1,5,2016,"他
G06Q
A61K
A45D","G06Q50/22
A45D44/00
A61K8/00
他","[]
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['医薬用，歯科用又は化粧用製剤（薬物を特定の物理的または投与形態に変化させるのに特に適合した装置または方法Ａ６１Ｊ３／００；空気の脱臭用品，殺菌または消毒用品，あるいは包帯，被覆用品，吸収性パッド，または手術用品のための物質の使用又は化学的事項Ａ６１Ｌ；石鹸の組成Ｃ１１Ｄ）']
['理美容またはひげそり器具；マニキュアまたは他の化粧（かつら，入れ毛，またはその類似物Ａ４１Ｇ３／００，Ａ４１Ｇ５／００；理髪用の椅子Ａ４７Ｃ１／０４；散髪用具，かみそりＢ２６Ｂ）']","['社会福祉事業［２０１８．０１］']
['他の化粧用備品，例．理美容室用のもの']
['化粧品あるいは類似化粧品製剤［８］']
[]"
146,147,特願2016-158448,特開2016-209644,"2016/08/12
2016/12/15
2018/01/05",神経刺激装置,カリフォルニア インスティテュート オブ テクノロジー 他,A61N1/36,2016-08-12,1,8,2016,A61N,A61N1/36,['電気治療；磁気治療；放射線治療；超音波治療（生体電流の測定Ａ６１Ｂ；非機械的な形態のエネルギーを，身体へ，または身体から伝達する手術用機器，器具，または方法Ａ６１Ｂ１８／００；麻酔装置一般Ａ６１Ｍ；白熱ランプＨ０１Ｋ；加熱用の赤外線放射器Ｈ０５Ｂ）［６］'],['刺激のための，例．心臓ペースメーカ']
147,148,特願2016-069870,特開2016-200141,"2016/03/31
2016/12/01
-",エンジン事象の時間を推定するシステムおよび方法,ゼネラル・エレクトリック・カンパニイ,"F02D45/00,345@Z 
G05B23/02@R 
F02D17/04@V 
他",2016-03-31,1,3,2016,"他
F02D
G05B","F02D45/00
G05B23/02
F02D17/04
他","[]
['燃焼機関の制御（車両速度を自動的に制御する車両付属品であって，単一のサブユニットのみに作用するものＢ６０Ｋ３１／００；異なる種類又は異なる機能の車両用サブユニットの関連制御，特定の単一のサブユニットの制御に関するものではない，特定の目的のための道路上の車両の運転制御システムＢ６０Ｗ；周期的に作動する燃焼機関用弁Ｆ０１Ｌ；燃焼機関の潤滑の制御Ｆ０１Ｍ；内燃機関の冷却Ｆ０１Ｐ；燃焼機関への可燃混合物またはその成分の供給，例．気化器，噴射ポンプＦ０２Ｍ；燃焼機関の始動Ｆ０２Ｎ；点火の制御Ｆ０２Ｐ；ガスタービン設備，ジェット推進設備または焼燃生成ガス機関設備の制御はこれらの設備に関連したサブクラスを参照）［４，８］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']","['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
['電気式試験または監視']
['機関を不作動または無負荷状態とするもの，例．異常状態に基づくもの（潤滑状態によるものＦ０１Ｍ１／２２；冷却状態によるものＦ０１Ｐ５／１４）']
[]"
148,149,特願2017-568465,特表2018-519122,"2016/05/13
2016/11/17
-",不一致モニタリング,アライヴコア インコーポレイテッド,"A61B5/04,310@H 
A61B5/04,312@U",2016-05-13,1,5,2016,A61B,"A61B5/04
A61B5/04",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['人体またはその部分の生体電気信号の測定']
['人体またはその部分の生体電気信号の測定']"
149,150,特願2017-517594,再表2016/181604,"2016/04/06
2016/11/17
-",家畜管理システム、センサ装置及び家畜の状態の推定方法,ソニー株式会社,"A01K29/00 
A01K11/00@A 
G06Q50/02",2016-04-06,1,4,2016,"A01K
G06Q","A01K29/00
A01K11/00
G06Q50/02","['畜産；鳥，魚，昆虫の飼育；漁業；他に分類されない動物の飼育または繁殖；新規な動物']
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']","['他の家畜用具']
['動物の標識付け（家禽またはその他の鳥の標識付けＡ０１Ｋ３５／００）']
['農業；漁業；鉱業［２０１２．０１］']"
150,151,特願2015-068324,特開2016-189073,"2015/03/30
2016/11/04
-",個性推定装置、個性推定プログラムおよび個性推定方法,株式会社国際電気通信基礎技術研究所,"G06Q50/10,180 
G06Q50/10",2015-03-30,1,3,2015,G06Q,"G06Q50/10
G06Q50/10",['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］'],"['サービス業［２０１２．０１］']
['サービス業［２０１２．０１］']"
151,152,特願2016-051793,特開2016-183671,"2016/03/16
2016/10/20
-",エンジンイベントを位置決定するためのシステム及び方法,ゼネラル・エレクトリック・カンパニイ,"F02D45/00,326 
F02D45/00,368@B 
F02D45/00,370@B 
他",2016-03-16,1,3,2016,"他
F02D","F02D45/00
F02D45/00
F02D45/00
他","[]
['燃焼機関の制御（車両速度を自動的に制御する車両付属品であって，単一のサブユニットのみに作用するものＢ６０Ｋ３１／００；異なる種類又は異なる機能の車両用サブユニットの関連制御，特定の単一のサブユニットの制御に関するものではない，特定の目的のための道路上の車両の運転制御システムＢ６０Ｗ；周期的に作動する燃焼機関用弁Ｆ０１Ｌ；燃焼機関の潤滑の制御Ｆ０１Ｍ；内燃機関の冷却Ｆ０１Ｐ；燃焼機関への可燃混合物またはその成分の供給，例．気化器，噴射ポンプＦ０２Ｍ；燃焼機関の始動Ｆ０２Ｎ；点火の制御Ｆ０２Ｐ；ガスタービン設備，ジェット推進設備または焼燃生成ガス機関設備の制御はこれらの設備に関連したサブクラスを参照）［４，８］']","['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
[]"
152,153,特願2015-210127,特許6010204,"2015/10/26
2016/10/19
2016/09/23",パワー素子の予測寿命を学習する機械学習装置及び方法並びに該機械学習装置を備えた寿命予測装置及びモータ駆動装置,ファナック株式会社,"G01R31/26@A 
G06N3/08 
H02P5/00@X 
他",2015-10-26,1,10,2015,"他
G01R
G06N
H02P","G01R31/26
G06N3/08
H02P5/00@
他","[]
['電気的変量の測定；磁気的変量の測定（共振回路の正しい同調の指示Ｈ０３Ｊ３／１２）']
['特定の計算モデルに基づくコンピュータ・システム［７］']
['電動機，発電機，回転変換機の制御または調整；変圧器，リアクトルまたはチョークコイルの制御［４］']","['個々の半導体装置の試験（製造中または処理中の試験または測定Ｈ０１Ｌ２１／６６；光電圧装置の試験Ｈ０２Ｓ５０／１０）［２，２０１４．０１］']
['学習方法［７］']
[]
[]"
153,154,特願2017-546845,特表2018-513463,"2016/02/25
2016/10/06
-",プロセッサ／コプロセッサ構成に対するデータのオフローディング及びオンローディングのための技術,インテル コーポレイション,"G06F9/46,465@A",2016-02-25,1,2,2016,G06F,G06F9/46,['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],['マルチプログラミング装置［３］']
154,155,特願2017-551260,特表2018-511407,"2016/03/31
2016/10/06
-",口腔内装置療法のための自動タイトレーションを提供するためのシステム及び方法,ゼスト・ホールディングス・インコーポレイテッド,"A61M16/00,320@B 
A61B5/08 
A61B5/16 
他",2016-03-31,1,3,2016,"他
A61M
A61B","A61M16/00
A61B5/08
A61B5/16
他","[]
['人体の中へ，または表面に媒体を導入する装置（動物の体内へのまたは表面への媒体の導入Ａ６１Ｄ７／００；タンポン挿入手段Ａ６１Ｆ１３／２６；食物または薬の経口投与装置Ａ６１Ｊ；血液または医療用液体を収集，貯蔵または処理するための容器Ａ６１Ｊ１／０５）；人体用の媒体を交換する，または人体から媒体を除去するための装置（手術Ａ６１Ｂ；手術用物品の化学的事項Ａ６１Ｌ；人体内に置かれた磁気素子を用いる磁気治療Ａ６１Ｎ２／１０）；眠りまたは無感覚を生起または終らせるための装置［４，５］']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['ガスの取扱によって患者の呼吸器系に影響を与える装置，例．口うつし呼吸；気道管（機械的，空気的または電気的手段，ガス呼吸手段と結合する鉄の肺によって呼吸運動を刺激するものＡ６１Ｈ３１／００）［４］']
['呼吸器官評価用の測定用装置（Ａ６１Ｂ５／０２０５が優先）［５］']
['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]"
155,156,特願2015-054246,特開2016-173782,"2015/03/18
2016/09/29
-",故障予測システム、故障予測方法、故障予測装置、学習装置、故障予測プログラム及び学習プログラム,エヌ・ティ・ティ・コミュニケーションズ株式会社,"G06F11/22,360@D 
G06F11/34@S 
G06N99/00,153 
他",2015-03-18,1,3,2015,"他
G06F
G06N","G06F11/22
G06F11/34
G06N99/00
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['待機作動中または遊休時間中の検査によるコンピュータ故障箇所の検出または故障位置の指示，例．始動試験［３］']
['コンピュータ動作の記録または統計的評価，例．故障時間のまたは入出力動作の記録または統計的評価［３］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
[]"
156,157,特願2015-049397,特開2016-170589,"2015/03/12
2016/09/23
-",情報処理装置、情報処理方法およびプログラム,ソニー株式会社,"G06F3/01,310@B 
G08G1/16@F 
G06F3/01,310@Z 
他",2015-03-12,1,3,2015,"他
G06F
G08G","G06F3/01
G08G1/16@
G06F3/01
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['交通制御システム（鉄道交通の案内，保安Ｂ６１Ｌ；特に交通制御に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９１，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／８８；特に衝突防止目的に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９３，Ｇ０１Ｓ１５／９３，Ｇ０１Ｓ１７／９３；陸上，水中，空中または宇宙用運送手段について，交通環境に特化しない位置，進路，高度または姿勢の制御Ｇ０５Ｄ１／００）［２］']","['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
[]
['ユーザーと計算機との相互作用のための入力装置または入力と出力が結合した装置（Ｇ０６Ｆ３／１６が優先）［８］']
[]"
157,158,特願2017-567509,特表2018-510044,"2016/03/11
2016/09/22
-",いびきを阻害及び防止するための装置及び方法,ハリリ，アリアスガー,A61F5/56,2016-03-11,1,3,2016,A61F,A61F5/56,['血管へ埋め込み可能なフィルター；補綴；人体の管状構造を開存させるまたは虚脱を防ぐ装置，例．ステント；整形外科用具，看護用具または避妊用具；温湿布；目または耳の治療または保護；包帯；被覆用品または吸収性パッド；救急箱（歯科用補綴Ａ６１Ｃ）［６，８］'],['いびき防止装置']
158,159,特願2016-040645,特開2016-166612,"2016/03/03
2016/09/15
-",ノックセンサを用いて対をなすシリンダの健全性を推論する方法およびシステム,ゼネラル・エレクトリック・カンパニイ,"F02D45/00,345@Z 
F02D45/00,368@B 
F02D45/00,368@E 
他",2016-03-03,1,3,2016,"他
F02D","F02D45/00
F02D45/00
F02D45/00
他","[]
['燃焼機関の制御（車両速度を自動的に制御する車両付属品であって，単一のサブユニットのみに作用するものＢ６０Ｋ３１／００；異なる種類又は異なる機能の車両用サブユニットの関連制御，特定の単一のサブユニットの制御に関するものではない，特定の目的のための道路上の車両の運転制御システムＢ６０Ｗ；周期的に作動する燃焼機関用弁Ｆ０１Ｌ；燃焼機関の潤滑の制御Ｆ０１Ｍ；内燃機関の冷却Ｆ０１Ｐ；燃焼機関への可燃混合物またはその成分の供給，例．気化器，噴射ポンプＦ０２Ｍ；燃焼機関の始動Ｆ０２Ｎ；点火の制御Ｆ０２Ｐ；ガスタービン設備，ジェット推進設備または焼燃生成ガス機関設備の制御はこれらの設備に関連したサブクラスを参照）［４，８］']","['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
[]"
159,160,特願2015-046573,特開2016-165373,"2015/03/10
2016/09/15
2018/04/13",センサデータを用いた推定装置、センサデータを用いた推定方法、センサデータを用いた推定プログラム,日本電信電話株式会社,"A61B5/16 
A61B5/10,310@A 
A61B5/02,310@A 
他",2015-03-10,1,3,2015,"他
A61B","A61B5/16
A61B5/10
A61B5/02
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]
['脈拍，心拍，血圧または血流の測定；結合された脈拍／心拍／血圧の測定；他に分類されない心臓血管の状態の評価，例．このグループに分類される技術と心電計との結合を用いるもの；血圧測定用心臓カテーテル［５］']
[]"
160,161,特願2017-547951,特表2018-512202,"2016/03/11
2016/09/15
-",認知能力を測定するためのプロセッサ実装システムおよび方法,アキリ・インタラクティヴ・ラブズ・インコーポレイテッド,A61B10/00@H,2016-03-11,1,3,2016,A61B,A61B10/00,['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],['他の診断法または診断機器，例．診断ワクチン接種用機器；性の決定；排卵期の決定；咽喉をたたく器具［４，８］']
161,162,特願2017-547411,特表2018-511378,"2016/02/26
2016/09/15
-",心不全を示す情報を生成するための方法及び装置,プレコルディール オサケユイチア,"A61B5/00,101@R 
A61B5/10,310@Z",2016-02-26,1,2,2016,A61B,"A61B5/00
A61B5/10",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
[]"
162,163,特願2015-032791,特開2016-157170,"2015/02/23
2016/09/01
-",異常状態通知システム、異常状態通知プログラム、異常状態通知方法および異常状態通知装置,株式会社国際電気通信基礎技術研究所,"G06T7/20,300@Z 
G08B21/02 
G08B25/04@K 
他",2015-02-23,1,2,2015,"他
G08B
G06T","G06T7/20
G08B21/02
G08B25/04
他","[]
['信号または呼出し装置；指令発信装置；警報装置']
['イメージデータ処理または発生一般［６，８］']","['動きの分析（デジタルビデオ信号を符号化，復号，圧縮または伸張するための動き推定Ｈ０４Ｎ１９／４３，Ｈ０４Ｎ１９／５１）［２０１７．０１］']
['人の安全確認のための警報［７］']
['専用の信号回線を用いるもの，例．閉ループ状のもの［５］']
[]"
163,164,特願2015-034861,特開2016-156712,"2015/02/25
2016/09/01
2018/09/14",学習による地震判定が可能な地震判定装置、システム、プログラム及び方法,ＫＤＤＩ株式会社 他,"G01V1/30 
G01H1/00@E",2015-02-25,1,2,2015,"G01V
G01H","G01V1/30
G01H1/00@","['地球物理；重力測定；塊状物または対象物の検出；タグ（突発的に埋まった，例．雪に埋まった人の位置を指示する手段Ａ６３Ｂ２９／０２）［４，６］']
['機械振動または超音波，音波または亜音波の測定［４］']","['解析（Ｇ０１Ｖ１／５０が優先）［６］']
[]"
164,165,特願2015-034571,特開2016-154696,"2015/02/24
2016/09/01
-",患者の見守りシステム,パラマウントベッド株式会社,"A61B5/00,102@B 
G08B25/04@K",2015-02-24,1,2,2015,"G08B
A61B","A61B5/00
G08B25/04","['信号または呼出し装置；指令発信装置；警報装置']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['診断のための検出，測定または記録（放射線診断Ａ６１Ｂ６／００；超音波，音波または亜音波による診断のための測定Ａ６１Ｂ８／００）；個体の識別']
['専用の信号回線を用いるもの，例．閉ループ状のもの［５］']"
165,166,特願2017-541922,特表2018-514011,"2016/01/20
2016/08/18
-",環境シーン状態検出,クゥアルコム・インコーポレイテッド,"G06T7/00,300@F 
G01W1/10@Z 
B60R21/00,624@C 
他",2016-01-20,1,1,2016,"B60R
G01W
他
G06T","G06T7/00
G01W1/10@
B60R21/00
他","['他に分類されない車両，車両付属具，または車両部品（特に車両に適合する防火，延焼抑制または消火Ａ６２Ｃ３／０７）']
['気象学（気象用にデザインしたレーダ，ソーナ，ライダーまたは類似の方式Ｇ０１Ｓ１３／９５，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／９５）']
[]
['イメージデータ処理または発生一般［６，８］']","['イメージ分析［２０１７．０１］']
[]
['事故又は他の交通危機の場合乗員又は歩行者を負傷から保護又は防止するための車両の装置又は部品（車両における安全ベルトまたは身体用設備Ｂ６０Ｒ２２／００；異常加速度による影響から乗っている人間を保護する様，特に設計された座席，例．安全座席，Ｂ６０Ｎ２／４２；車両操向用ハンドホイールエネルギー吸収装置Ｂ６２Ｄ１／１１；車両操向用コラムエネルギー吸収装置Ｂ６２Ｄ１／１９）［４，５］']
[]"
166,167,特願2015-244675,特許5969685,"2015/12/15
2016/08/17
2016/07/15",廃棄物選別システム及びその選別方法,ウエノテックス株式会社,"B07C3/10 
B07C5/10 
B07C5/16 
他",2015-12-15,1,12,2015,"他
B07C","B07C3/10
B07C5/10
B07C5/16
他","[]
['郵便に関する選別；順次に仕分けする，例．取り出すことによって，に適した個別の物品またはばらの材料の仕分け（他のクラスに包含される特殊目的に特に適するものは，関連した箇所を参照，例．Ａ４３Ｄ３３／０６，Ｂ２３Ｑ７／１２）']","['目的地の検知に使用される手段に特徴のある装置（印刷もしくは手書きの文字または幾何学的図形を読取りまたは認識のための方法または装置Ｇ０６Ｋ９／００）']
['光感応手段により測定されるもの']
['重量に従った選別（秤量装置それ自体Ｇ０１Ｇ；卵の選別Ａ０１Ｋ４３／００）']
[]"
167,168,特願2016-014986,特開2016-145574,"2016/01/29
2016/08/12
-",ガスタービン燃焼プロファイル監視,ゼネラル・エレクトリック・カンパニイ,"F02C9/00@B 
F01D25/00@W 
F01D25/00@V 
他",2016-01-29,1,1,2016,"F01D
F02C
他","F02C9/00@
F01D25/00
F01D25/00
他","['非容積形機械または機関，例．蒸気タービン（燃焼機関Ｆ０２；液体用機械または機関Ｆ０３，Ｆ０４；非容積形ポンプＦ０４Ｄ）']
['ガスタービン設備；ジェット推進設備のための空気の取り入れ；空気吸込ジェット推進設備における燃料供給制御（タービンの構造Ｆ０１Ｄ；ジェット推進設備Ｆ０２Ｋ；圧縮機又はファンの構造Ｆ０４；燃焼が燃料または他の粒子の流体層で発生する燃焼装置Ｆ２３Ｃ１０／００；高圧または高速の燃焼生成物の生成Ｆ２３Ｒ；圧縮冷凍設備におけるガスタービンの使用Ｆ２５Ｂ１１／００；乗り物におけるガスタービンの使用，関連する乗り物のクラス参照）']
[]","[]
['他のグループに分類されない構成部品，細部または付属品']
['他のグループに分類されない構成部品，細部または付属品']
[]"
168,169,特願2017-540116,特表2018-510403,"2016/01/11
2016/08/11
-",改善されたマルウェア保護のためにモバイルデバイスとの偽ユーザ対話を検出するための方法および装置,クアルコム，インコーポレイテッド,"G06F21/56,360 
G06F21/55,320",2016-01-11,1,1,2016,G06F,"G06F21/56
G06F21/55",['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）'],"['コンピュータ・マルウェアの検出または処理，例．アンチ・ウィルス装置［２０１３．０１］']
['ローカルへの侵入を検知または対抗策を実行するもの［２０１３．０１］']"
169,170,特願2017-540738,特表2018-508259,"2016/02/02
2016/08/11
-",対象の組織を特徴付けるための方法およびシステム,ノバダック テクノロジーズ インコーポレイテッド,"A61B10/00@E 
G01N21/64@F 
A61B6/00,331@E 
他",2016-02-02,1,2,2016,"他
G01N
A61B","A61B10/00
G01N21/64
A61B6/00
他","[]
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['他の診断法または診断機器，例．診断ワクチン接種用機器；性の決定；排卵期の決定；咽喉をたたく器具［４，８］']
['蛍光；燐光［３］']
['放射線診断用機器，例．放射線治療と結合している装置（核医学の分野に適用される放射線強度を判定する機器，例．生体内計数Ｇ０１Ｔ１／１６１；Ｘ線写真撮影装置Ｇ０３Ｂ４２／０２）']
[]"
